id,X,Y,Year,Operator
HV103,344171.71,6377669.79,2004,Odgers
HV106,338838.671,6380788.71,2004,Odgers
HV107,348989.681,6377133.19,2004,Odgers
HV108,338308.545,6378790.46,2004,Odgers
HV109,337880.855,6371288.4,2004,Odgers
HV111,342432.231,6377586.89,2004,Odgers
HV112,340628.17,6369687.14,2004,Odgers
HV113,346551.496,6370301.95,2004,Odgers
HV114,343046.056,6377242.83,2004,Odgers
HV115,344211.668,6369582.25,2004,Odgers
HV116,337281.215,6378890.13,2004,Odgers
HV118,345231.421,6379386.49,2004,Odgers
HV119,338068.892,6369987.21,2004,Odgers
HV120,347411.5,6371206.89,2004,Odgers
HV121,341877.627,6365590.36,2004,Odgers
HV123,342083.353,6371887.52,2004,Odgers
HV124,340530.77,6380587.55,2004,Odgers
HV125,335556.284,6378480.2,2004,Odgers
HV127,340559.078,6365489.33,2004,Odgers
HV128,349332.551,6373690.52,2004,Odgers
HV129,335214.053,6378990.25,2004,Odgers
HV130,337708.289,6375191.73,2004,Odgers
HV131,342504.482,6368089.08,2004,Odgers
HV132,346508.193,6376488.5,2004,Odgers
HV133,337179.597,6372287.27,2004,Odgers
HV134,346132.632,6370492.86,2004,Odgers
HV135,345511.84,6377392.41,2004,Odgers
HV136,342909.907,6369688.11,2004,Odgers
HV137,345423.309,6372788.59,2004,Odgers
HV138,345325.772,6369974.57,2004,Odgers
HV139,339681.316,6377385.36,2004,Odgers
HV140,345133.619,6375679.74,2004,Odgers
HV142,345475.057,6379696.38,2004,Odgers
HV143,346823.158,6370179.73,2004,Odgers
HV144,346907.57,6371990.96,2004,Odgers
HV145,349273.807,6371084.58,2004,Odgers
HV147,346505.098,6374084.1,2004,Odgers
HV149,342533.697,6366489.18,2004,Odgers
HV150,344730.73,6376390.98,2004,Odgers
HV151,338954.734,6379992.08,2004,Odgers
HV152,348230.888,6371593.22,2004,Odgers
HV154,338328.183,6382482.82,2004,Odgers
HV155,348533.734,6374396.99,2004,Odgers
HV156,340932.178,6371696.09,2004,Odgers
HV158,343420.835,6367884.03,2004,Odgers
HV160,349341.884,6376592.92,2004,Odgers
HV161F,345383.828,6374178.69,2004,Odgers
HV162,349507.891,6372386.78,2004,Odgers
HV163,343907.219,6368693.55,2004,Odgers
HV164,347554.672,6369087.55,2004,Odgers
HV165,337308.003,6372684.21,2004,Odgers
HV167,339510.363,6380888.31,2004,Odgers
HV168,338357.496,6369293.2,2004,Odgers
HV169,347323.961,6378783.42,2004,Odgers
HV170,344426.142,6376687.86,2004,Odgers
HV171,337686.482,6379793.99,2004,Odgers
HV173,346314.147,6378488.37,2004,Odgers
HV174,338285.897,6369089.07,2004,Odgers
HV175,343990.48,6371791.3,2004,Odgers
HV176,343509.679,6369787.45,2004,Odgers
HV177,343190.219,6367071.88,2004,Odgers
