"samp_nos","mean_dist","sd_dist","min_S","max_S","mean_PIP","sd_PIP","mean_KL","sd_KL"
10,4.5734671309435,1.20777919936375,0.80633153885039,0.995587119182896,56.5055849107083,5.62867275655181,0.292585212648047,0.0142509880903807
20,3.78264197735327,1.08108049224927,0.851130042464499,0.994430889015219,71.6938666309946,6.32114768115462,0.229058511045756,0.0121616130776598
30,4.19591067187487,1.49266413149671,0.969418233298627,0.99831033014549,79.3548926493211,3.42643955192554,0.173435080680049,0.010215422306357
40,3.25289167990472,1.19704908633567,0.966136698224338,0.998609290501371,80.5558156645041,2.69356524084997,0.151512736313712,0.0193680140284159
50,3.42469715452663,1.54699068245023,0.96741730103339,0.998687554386391,80.1297572068758,4.268172312689,0.134801384260683,0.0192865840291542
60,2.34602517097955,1.23404469323339,0.953431833581394,0.998254181470447,86.7507190154505,3.7785134817103,0.115931799680685,0.00737455231976419
70,2.91181793609462,1.56028130179147,0.964180427529049,0.998964149094903,88.3231890843422,3.5127945273682,0.108683296122663,0.0149992644593875
80,2.71608992548787,1.39916441022796,0.979528505632925,0.999747861642135,89.2619222794462,1.21816345773384,0.101537247638039,0.0134708896391248
90,3.385306680486,1.36825796696841,0.984919788125143,0.999754622988808,89.8612132967694,2.4407406764551,0.0941856606348224,0.0072121115194821
100,2.22705580908557,0.947729231044858,0.979706012551398,0.999250555819764,89.8765968831516,2.96275811240078,0.0781181329467024,0.00974587668770164
110,2.75373663648327,1.36409359408658,0.99021394978203,0.999530719318853,90.9892314895325,3.11700553315278,0.0785340723367477,0.0129330344058244
120,2.04580694274607,0.905840295422485,0.986457444689136,0.998298624092354,92.4289345194301,2.44203527430682,0.0734947752541526,0.00866014795621989
130,2.03602625137045,0.723299822947916,0.974782758161937,0.99951377350799,92.0440104340847,2.105521337099,0.0685920760339133,0.00796005324915387
140,2.08715613707441,1.14650997705135,0.987130286251356,0.999877691565844,92.8984683298776,2.53672941910766,0.0614448571901417,0.00588150451481401
150,1.65799453318014,0.74150111852259,0.989651747197042,0.999313790793554,94.2615878536553,1.67111455641898,0.0605241062376594,0.00551811555150768
160,2.50844302509115,1.2210630070717,0.983006279861901,0.999835622034535,93.1446057119925,2.56962135336803,0.0571575543746095,0.00770593684402992
170,1.58551732405203,0.3644460728471,0.992654828992007,0.999912355599851,94.4619089024145,1.41710361219948,0.0615037859388366,0.00731561656102157
180,2.06106481704055,0.673354680535774,0.991729491426561,0.999743031145386,93.7776737341984,1.94657082666606,0.0541050749462473,0.00642958279351999
190,2.37965326961155,1.21678249254797,0.989294306834687,0.999935013281877,95.0769179319109,1.64462736142657,0.0555970178675976,0.00570918912138403
200,1.83372373479431,0.791666972962884,0.994072926431051,0.999781003065777,94.6933315497291,1.45182894321314,0.0532294840006947,0.0109640310821495
210,2.39961374205259,1.39976383543368,0.991450736566315,0.999769723391718,94.42378436225,1.5221458032584,0.0495808739383634,0.00808744605055176
220,1.74721282605605,0.590644347323368,0.994360772580539,0.999920658214822,95.4327469734466,1.18004562284733,0.0459653431775093,0.00470381527884933
230,2.11960633320362,1.20726267787207,0.99540866967177,0.999762011473554,95.5798943214501,2.10782188006509,0.0456607325096044,0.00828496433780211
240,1.42572312606847,0.368162891712112,0.99545026920507,0.999244390365459,95.8032907497826,1.64545528597229,0.043680182814379,0.00316087125384175
250,2.08311912954467,0.942582097586388,0.996741705007216,0.999680019950721,96.0908969299712,0.910946566494309,0.0401083455206053,0.00538380333386028
260,1.77844203385096,0.813599457049917,0.996090217697296,0.999472838962218,96.0223396428333,1.60469344777218,0.0406300839699603,0.00307952113783257
270,1.3149550857823,0.510626521513632,0.997353604594219,0.999816151214448,95.8725168885024,1.16194106256731,0.0368226471652295,0.00381416240720808
280,1.67628132212144,0.924894759619368,0.989727248113406,0.999922601337798,95.6621630660157,0.971305216508831,0.0355424974151318,0.00553888187460275
290,2.14061874229937,1.07574532157399,0.995860240332229,0.999758808224702,96.0601297572069,1.43498799303236,0.0376609139380093,0.00461315731912041
300,2.22792068714754,1.02418833832206,0.977785450599708,0.999880813579635,96.0614674603706,0.907419670228095,0.034561274550741,0.00507735879933494
310,1.42443030358073,0.777920213796417,0.991922285228825,0.999582079924841,96.1193231221992,1.31953868051948,0.0335311081236643,0.00514131834988931
320,1.81121677605409,1.04164715242808,0.998227114961694,0.999969883355397,96.4698013510802,0.79775829805182,0.0324208347732339,0.00589787428675231
330,1.28033255639094,0.463291630100977,0.995784349879221,0.99983846123681,96.994180991238,0.849492417366577,0.0315547067898383,0.00619600583311698
340,1.47109624007395,0.61490822783508,0.993416522329886,0.999784059165581,96.5223062002542,0.841555478941377,0.030452210788937,0.00444113273308214
350,1.28863188093889,0.457427730869789,0.993124936182526,0.999814159336747,96.6219650859474,1.03807409125263,0.0294874664781917,0.00539580260943974
360,1.60213214746773,0.69869544316135,0.996233481980766,0.99981147364408,97.3560296970102,0.924819104018369,0.0309995683718131,0.0059572666681233
370,1.16312252822095,0.522206126392811,0.996260851673373,0.999840190582122,96.6898535215036,1.29708815289349,0.0284317230859608,0.00591227498149546
380,1.01329676767463,0.437125574143163,0.996949528851249,0.99981569548735,97.4168951909571,0.81222899712458,0.0257590958022444,0.00226171754638431
390,1.26812470716129,0.699872780933546,0.993178859490269,0.99977609666458,96.6433683365661,0.92692744176923,0.0299157380679489,0.00511617605553013
400,0.960132473695886,0.338085964668309,0.988696788796544,0.999800932126918,97.5275901277507,1.14037402148933,0.0256526380030239,0.00195994024154292
410,1.07014360980275,0.426981982910115,0.997757667790639,0.999996466938893,97.3941542371748,0.558794263551642,0.0251899736121923,0.00443289750747558
420,1.28854997563482,0.578892164490743,0.995370466962327,0.999826113285105,97.4018460303659,0.743210607160503,0.0268287736987634,0.00344373933938307
430,1.39007736280622,0.762789651175236,0.995306796526074,0.999871446395694,97.6613604441174,0.562962332485482,0.024992200645414,0.00265388812795614
440,1.09300996313057,0.338255963588881,0.993556691504003,0.999598833786055,97.6573473346265,0.827681499631785,0.0238519541051825,0.00296208378604806
450,1.47492284009755,0.800199025593456,0.994517566690976,0.999731808148355,97.4239181325664,0.610159934447692,0.0238355051174065,0.00221750475359183
460,1.73672467411533,0.919096248293811,0.996680172628551,0.999945763552459,97.3647247675741,1.48273415366462,0.0249634600960239,0.00600494862666005
470,1.22359894229153,0.44301939077518,0.997961407823568,0.999963403226202,97.7282456023008,0.62486046807952,0.0245522273689389,0.00311172537423922
480,1.35709350027523,0.579769596077299,0.993042825042984,0.999902335042168,97.3556952712193,0.568462748460011,0.0243295564080205,0.00286307487991683
490,1.85027317580561,0.730453545061558,0.998473061497573,0.999893594162133,97.6790850110361,0.603302643771235,0.0212146864028861,0.00359098082544577
500,1.91409328140467,0.663105021054402,0.996639501137953,0.999929309431821,97.7717209551201,0.573310355645157,0.0234368290520334,0.00415583527751801
