X_REF,Y_REF,elevation,yield,ECs,ECd
874595.246,6550074.78,126.528527,3.92866628,5.94957626,5.37409399
874605.246,6550074.78,126.459921,4.03465179,6.71094651,6.19108281
874615.246,6550074.78,126.379641,4.03348191,7.4372414,6.63706601
874625.246,6550074.78,126.319841,4.13133252,7.56173,6.60713417
874635.246,6550074.78,126.249269,3.97919684,7.42045221,6.5217321
874645.246,6550074.78,126.194668,3.88176521,7.20409778,7.01583684
874655.246,6550074.78,126.148165,3.92678098,7.27453577,7.23101924
874665.246,6550074.78,126.129072,3.92898059,7.48476783,7.33494564
874395.246,6550064.78,127.189675,2.66032953,8.27699517,7.64040032
874405.246,6550064.78,127.229151,2.76165462,7.15577698,6.85425755
874415.246,6550064.78,127.305186,3.06289332,5.5082667,6.09695825
874425.246,6550064.78,127.433845,3.49327608,5.26267788,5.87543441
874435.246,6550064.78,127.538625,3.77798198,5.05041289,5.53100757
874445.246,6550064.78,127.544949,3.91032308,5.35189123,5.72773406
874455.246,6550064.78,127.513781,3.82274977,6.17309295,6.11069186
874465.246,6550064.78,127.44852,3.6357303,6.85576566,6.76092693
874475.246,6550064.78,127.345357,3.46447117,6.77805373,7.24288784
874485.246,6550064.78,127.202532,3.27766081,6.95986446,7.72012071
874495.246,6550064.78,127.05573,3.03111337,7.22870568,7.48619008
874505.246,6550064.78,126.922305,3.22518399,7.14190823,7.10003703
874515.246,6550064.78,126.803815,3.297254,7.1552761,7.01534575
874525.246,6550064.78,126.720274,3.30524301,7.39060796,7.05636467
874535.246,6550064.78,126.66422,3.34434212,7.39866812,6.98796931
874545.246,6550064.78,126.639687,3.57094405,7.12314969,6.94429181
874555.246,6550064.78,126.63226,3.88428917,6.67380392,6.78788903
874565.246,6550064.78,126.604804,3.68927514,6.49251516,6.64709555
874575.246,6550064.78,126.593327,3.76869957,5.74902342,6.25793338
874585.246,6550064.78,126.550125,3.56923041,5.74253069,5.86146751
874595.246,6550064.78,126.49141,3.83132233,6.18019609,5.65511248
874605.246,6550064.78,126.417641,4.06262778,6.60733239,6.16710795
874615.246,6550064.78,126.350414,4.2295263,7.30727188,6.98936704
874625.246,6550064.78,126.282305,4.36579368,8.04660288,7.37149106
874635.246,6550064.78,126.194443,4.31013834,7.75121806,6.76512
874645.246,6550064.78,126.139853,4.2522149,7.46309345,6.80658142
874655.246,6550064.78,126.12121,4.16064454,7.59993732,7.18675681
874665.246,6550064.78,126.089543,4.22192,7.01394282,7.16465565
874675.246,6550064.78,126.01679,4.25238499,6.9088279,7.1200874
874685.246,6550064.78,125.904782,4.23303826,6.8024987,7.04001288
874695.246,6550064.78,125.755142,4.23689208,6.76884184,7.00875443
874705.246,6550064.78,125.606263,4.11265991,6.92473649,7.1287792
874715.246,6550064.78,125.433728,3.64042342,7.35352654,7.36191434
874395.246,6550054.78,127.188547,2.62019829,6.99195358,6.836528
874405.246,6550054.78,127.189224,2.62904326,6.24880347,6.19095899
874415.246,6550054.78,127.281945,2.95630447,5.71503259,6.18786428
874425.246,6550054.78,127.413074,3.43971975,5.36158693,6.09208264
874435.246,6550054.78,127.497521,3.82818194,5.0952055,5.79978008
